Algorithm             , 6     , 7     , 8      , 9      , 10     , 11     , 12     , 20     , 50
AvgSortR Time[ns]     , 173.68, 131.20, 189.02 , 185.48 , 391.04 , 501.76 , 543.48 , 393.30 , 1111.46
AvgSortR Error[%]     , 9.92  , 14.85 , 13.53  , 13.62  , 13.60  , 11.84  , 10.15  , 5.65   , 1.95
AvgSortQ Time[ns]     , 133.12, 116.86, 183.98 , 152.66 , 300.72 , 412.44 , 455.40 , 378.60 , 1139.22
AvgSortQ Error[%]     , 13.10 , 18.10 , 14.88  , 14.17  , 14.86  , 8.33   , 7.78   , 4.66   , 1.55
AvgSchrage Time[ns]   , 595.42, 521.52, 794.94 , 732.42 , 1094.58, 1515.82, 1526.62, 1492.04, 4045.68
AvgSchrage Error[%]   , 3.38  , 2.19  , 1.13   , 0.35   , 0.15   , 0.08   , 0.40   , 0.00   , 0.00
AvgSchrageDiv Time[ns], 543.68, 509.64, 719.04 , 684.98 , 970.88 , 1268.50, 1312.14, 1367.16, 3697.12
AvgSchrageDiv Error[%], -     , -     , -      , -      , -      , -      , -      , -      , -
AvgBrute Time[ms]     , 0.00  , 0.00  , 0.00   , 2.50   , 28.54  , 325.78 , 4321.54, -      , -
AvgBrute Error[%]     , 0.00  , 0.00  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , -      , -
AvgCustom Time[ns]    , 744.68, 661.24, 1082.10, 1947.50, 1787.28, 2829.18, 3100.20, 2061.50, 8806.78
AvgCustom Error[%]    , 13.85 , 24.04 , 22.79  , 22.68  , 20.89  , 20.00  , 18.11  , 10.16  , 3.46
