Algorithm/DataSize , 6       , 7        , 8       , 9        , 10      , 11       , 12       , 20      , 50
SortR Cmax[%]      , 34 [6%] , 173 [9%] , 249 [2%], 168 [10%], 329 [6%], 232 [12%], 254 [0%] , 527 [0%], 1296 [1%]
SortR Time[ns]     , 548     , 157      , 134     , 159      , 458     , 1714     , 665      , 743     , 1040
SortQ Cmax[%]      , 32 [0%] , 158 [0%] , 252 [3%], 154 [1%] , 326 [5%], 220 [6%] , 263 [4%] , 528 [1%], 1293 [0%]
SortQ Time[ns]     , 419     , 201      , 204     , 177      , 538     , 1516     , 416      , 682     , 1206
Schrage Cmax[%]    , 32 [0%] , 164 [4%] , 245 [0%], 153 [0%] , 310 [0%], 213 [2%] , 253 [0%] , 525 [0%], 1289 [0%]
Schrage Time[ns]   , 1299    , 838      , 1137    , 1297     , 1612    , 2024     , 1505     , 2199    , 4900
SchrageDiv Cmax[%] , 32 [-]  , 157 [-]  , 245 [-] , 153 [-]  , 310 [-] , 205 [-]  , 253 [-]  , 525 [-] , 1289 [-]
SchrageDiv Time[ns], 691     , 833      , 912     , 1061     , 1293    , 2194     , 1278     , 1780    , 4056
BruteForce Cmax[%] , 32 [0%] , 158 [0%] , 245 [0%], 153 [0%] , 310 [0%], 208 [0%] , 253 [0%] , -       , -
BruteForce Time[ms], 0       , 0        , 0       , 5        , 44      , 369      , 4241     , -       , -
Custom Cmax[%]     , 40 [25%], 182 [15%], 268 [9%], 177 [16%], 327 [5%], 232 [12%], 280 [11%], 548 [4%], 1314 [2%]
Custom Time[ns]    , 1466    , 1284     , 1409    , 11293    , 3884    , 2418     , 2721     , 2564    , 9757
